codice ISBN- 1593, Titolo- Have His Carcase, Anno- 2021, Numero Pagine- 28, Periodicità- settimanale
codice ISBN- 1381, Titolo- Tirra Lirra by the River, Anno- 2023, Numero Pagine- 20, Periodicità- settimanale
codice ISBN- 1787, Titolo- All the King's Men, Anno- 2020, Numero Pagine- 33, Periodicità- settimanale
codice ISBN- 1909, Titolo- The Widening Gyre, Anno- 2023, Numero Pagine- 31, Periodicità- settimanale
codice ISBN- 1535, Titolo- The Way of All Flesh, Anno- 2020, Numero Pagine- 25, Periodicità- settimanale
codice ISBN- 1377, Titolo- The Cricket on the Hearth, Anno- 2021, Numero Pagine- 33, Periodicità- settimanale
codice ISBN- 1641, Titolo- All the King's Men, Anno- 2023, Numero Pagine- 37, Periodicità- settimanale
codice ISBN- 1382, Titolo- The Other Side of Silence, Anno- 2022, Numero Pagine- 27, Periodicità- settimanale
codice ISBN- 1848, Titolo- Tiger! Tiger!, Anno- 2020, Numero Pagine- 22, Periodicità- settimanale
codice ISBN- 1560, Titolo- Dance Dance Dance, Anno- 2023, Numero Pagine- 36, Periodicità- settimanale
codice ISBN- 1615, Titolo- Nectar in a Sieve, Anno- 2023, Numero Pagine- 21, Periodicità- settimanale
codice ISBN- 1735, Titolo- Consider the Lilies, Anno- 2023, Numero Pagine- 21, Periodicità- settimanale
codice ISBN- 1208, Titolo- Far From the Madding Crowd, Anno- 2021, Numero Pagine- 26, Periodicità- settimanale
codice ISBN- 1078, Titolo- The Needle's Eye, Anno- 2023, Numero Pagine- 27, Periodicità- settimanale
codice ISBN- 1488, Titolo- Tiger! Tiger!, Anno- 2020, Numero Pagine- 37, Periodicità- settimanale
codice ISBN- 1641, Titolo- Edna O'Brien, Anno- 2023, Numero Pagine- 29, Periodicità- settimanale
codice ISBN- 1342, Titolo- What's Become of Waring, Anno- 2022, Numero Pagine- 28, Periodicità- settimanale
codice ISBN- 1874, Titolo- No Highway, Anno- 2021, Numero Pagine- 37, Periodicità- settimanale
codice ISBN- 1505, Titolo- Antic Hay, Anno- 2021, Numero Pagine- 22, Periodicità- settimanale
codice ISBN- 1650, Titolo- Frequent Hearses, Anno- 2023, Numero Pagine- 28, Periodicità- settimanale
codice ISBN- 1633, Titolo- A Swiftly Tilting Planet, Anno- 2022, Numero Pagine- 22, Periodicità- settimanale
codice ISBN- 1501, Titolo- Butter In a Lordly Dish, Anno- 2023, Numero Pagine- 20, Periodicità- settimanale
codice ISBN- 1239, Titolo- A Time of Gifts, Anno- 2023, Numero Pagine- 33, Periodicità- settimanale
codice ISBN- 1499, Titolo- The Wind's Twelve Quarters, Anno- 2022, Numero Pagine- 32, Periodicità- settimanale
codice ISBN- 1664, Titolo- It's a Battlefield, Anno- 2021, Numero Pagine- 28, Periodicità- settimanale
codice ISBN- 1740, Titolo- An Acceptable Time, Anno- 2023, Numero Pagine- 33, Periodicità- settimanale
codice ISBN- 1874, Titolo- Down to a Sunless Sea, Anno- 2021, Numero Pagine- 29, Periodicità- settimanale
codice ISBN- 1691, Titolo- Look to Windward, Anno- 2022, Numero Pagine- 27, Periodicità- settimanale
codice ISBN- 1202, Titolo- No Longer at Ease, Anno- 2021, Numero Pagine- 23, Periodicità- settimanale
codice ISBN- 1667, Titolo- The Last Temptation, Anno- 2021, Numero Pagine- 37, Periodicità- settimanale
